VgosDB,Total_0,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_B,Total_D,Total_E,Total_F,Total_G,Total_H,Total_N,Total_-
20220818-vo2230,0,0,0,0,1,2,4,24,299,89,0,0,0,0,2,0,0,1033
20220915-vr2205,77,0,1,9,38,133,154,642,2990,2082,0,0,0,0,45,24,1302,1016
20221020-vo2293,0,0,0,0,0,7,30,69,319,120,0,0,0,0,11,0,0,250
20221109-vr2206,4,0,0,0,2,6,5,66,243,161,0,0,0,0,1,0,127,0
20221214-vo2348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892
20230125-vr2301,5,0,1,1,3,15,41,179,422,371,0,0,0,0,48,36,2,0
20230322-vo3081,1,0,0,1,8,25,60,213,237,77,0,0,0,0,87,32,0,0
20230504-vo3124,0,1,1,0,6,13,64,192,307,223,0,0,0,0,58,3,0,284
20230531-vr2302,87,0,1,4,14,41,82,254,481,498,0,0,0,0,80,67,807,0
20230614-vo3165,0,0,0,1,6,18,71,179,105,71,0,0,0,0,24,1,0,0
20230629-vo3180,0,0,0,0,1,9,47,111,268,155,0,0,0,0,30,3,3,419
20230703-r11110,536,0,0,0,0,0,1,6,20,405,0,0,0,0,0,0,30,0
20230706-r41110,0,0,0,0,1,6,18,57,89,116,0,0,0,0,7,0,0,486
20230710-r11111,95,0,0,0,0,0,4,18,104,745,0,0,0,0,0,0,18,0
20230713-r41111,37,0,1,0,1,16,14,34,145,526,0,0,0,0,5,13,20,18
20230717-r11112,100,0,0,1,0,2,4,5,43,625,0,0,0,0,0,0,22,0
20230720-r41112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230724-r11113,82,0,0,0,1,20,15,33,107,860,0,0,0,0,6,4,2,20
20230726-vo3207,0,0,0,0,0,4,21,41,95,90,0,0,0,0,0,0,0,0
20230727-r41113,71,0,0,0,0,7,17,61,247,479,0,0,0,0,7,6,3,22
20230814-r11116,117,0,0,0,0,0,5,10,59,541,0,0,0,0,4,2,2,30
20230817-r41116,99,0,0,0,0,2,1,10,60,488,0,0,0,0,2,4,0,34
20230822-r11117,153,0,0,0,0,1,1,7,41,1058,0,0,0,0,0,9,8,12
20230828-r11118,983,0,0,0,0,0,1,0,0,2,0,0,0,0,1,3,0,0
20230831-r41118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840
20230905-r11119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1112,0
20230907-vo3250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148,0
20230911-r11120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,994
20230914-r41120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778
20230918-r11121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842,0
20230920-vo3263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,0
20230926-r11122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1210
20230928-r41122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840
20231002-r11123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,902
20231005-vo3278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591,0
20231009-r11124,95,0,0,0,1,3,3,15,59,387,0,0,0,0,5,0,0,4
20231012-vo3285,2,0,0,0,3,11,72,213,200,81,0,0,0,0,14,0,0,44
20231017-r11125,217,0,0,2,0,1,3,13,54,799,0,0,0,0,7,0,10,0
20231019-r41125,2,0,0,0,13,66,119,209,285,276,0,0,0,0,39,1,0,0
20231023-r11126,105,0,0,0,0,0,1,19,86,796,0,0,0,0,3,0,0,0
20231026-vo3299,45,1,1,3,27,98,154,260,363,51,0,0,0,0,5,0,94,0
20231030-r11127,219,1,0,1,1,4,10,32,85,598,0,0,0,0,1,0,10,0
20231102-vo3306,0,0,0,0,6,18,53,95,90,48,0,0,0,0,0,0,327,0
20231106-r11128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1224
20231109-r41128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1456
20231113-r11129,715,0,0,0,0,0,2,4,21,302,0,0,0,0,1,1,6,212
20231116-vr2304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1680,0
20231120-r11130,157,0,0,0,1,2,4,50,90,592,0,0,0,0,3,1,2,26
20231123-vo3327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334
20231127-r11131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806
20231130-r41131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1224
20231204-r11132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688
20231207-vo3341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1208
20231211-r11133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0
20231213-vo3347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20231214-r41133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1534
20231218-r11134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20231220-r41134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240103-vo4003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240104-r41136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240111-r41137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240117-vo4017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240118-r41138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240125-r41139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240201-r41140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240207-vr2401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1680,0
20240208-r41141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240214-vo4045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1622,0
20240215-r41142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028,0
20240222-r41143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240229-r41144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240306-vo4066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240307-r41145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240311-r11146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240314-r41146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240318-r11147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900
20240320-vo4080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1314,0
20240321-r41147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1406
20240325-r11148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806
20240327-vo4087,0,0,6,15,32,35,41,32,29,152,0,0,0,0,146,13,56,746
20240403-vo4094,1,2,0,2,60,130,94,186,123,157,0,0,0,0,2,3,265,0
20240408-r11150,109,0,0,0,0,1,3,2,25,243,0,0,0,0,3,0,0,596
20240411-r41150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092
20240415-r11151,102,0,0,0,1,4,11,22,134,724,0,0,0,0,0,0,0,2
20240417-vo4108,0,0,3,10,20,66,187,246,150,69,0,18,0,0,63,3,3,0
20240418-r41151,92,0,0,3,14,21,39,91,230,608,0,0,0,0,16,0,0,134
20240422-r11152,79,0,0,0,0,0,3,14,56,629,0,0,0,0,1,0,0,18
20240424-vo4115,0,0,0,3,11,19,72,252,348,138,0,0,0,0,51,0,0,0
20240425-r41152,285,0,0,6,13,10,19,45,63,225,0,0,0,0,235,5,4,218
20240429-r11153,61,1,0,0,0,2,2,11,54,759,0,0,0,0,2,0,4,128
20240502-r41153,235,0,1,1,6,9,32,48,171,644,0,0,0,0,33,2,74,0
20240506-r11154,91,0,0,0,6,2,5,23,157,414,0,0,0,0,0,0,0,0
20240513-r11155,80,0,0,0,0,2,6,14,46,972,0,0,0,0,4,0,2,24
20240522-vo4143,0,1,0,0,2,16,70,194,241,79,0,0,0,0,43,0,33,0
20240523-r41156,186,0,0,0,0,0,5,27,169,942,0,0,0,0,36,9,0,0
20240527-r11157,110,0,0,1,0,1,3,23,94,829,0,0,0,0,3,0,16,224
20240529-vo4150,0,0,4,1,1,14,79,233,298,365,0,0,0,0,1,0,207,0
20240530-r41157,36,2,12,35,71,110,165,79,165,219,0,0,0,0,20,0,220,8
20240603-r11158,84,0,0,0,0,1,1,13,124,1184,0,0,0,0,3,0,0,4
20240605-vo4157,0,0,0,0,6,49,195,437,395,251,0,0,0,0,140,0,15,0
20240606-r41158,96,0,0,5,6,8,34,40,133,697,0,0,0,0,52,11,35,5
20240610-r11159,138,2,0,0,0,0,1,9,114,974,0,0,0,0,4,2,2,0
20240612-vr2402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240613-r41159,162,0,0,0,1,1,0,19,91,1074,0,0,0,0,10,0,0,50
20240617-r11160,0,0,2,6,31,104,155,159,236,454,0,0,0,0,34,0,1,46
20240620-r41160,0,0,0,12,52,95,116,135,86,139,0,0,0,0,92,0,179,0
20240624-r11161,240,0,0,0,0,5,3,24,93,915,0,0,0,0,4,0,2,0
20240626-vo4178,3,0,1,4,2,12,96,295,402,194,0,0,0,0,99,0,5,161
20240627-r41161,67,1,0,1,0,3,8,54,214,853,0,0,0,0,3,0,0,32
20240701-r11162,77,0,0,2,1,6,9,21,93,501,0,0,0,0,4,0,200,0
20240704-r41162,97,0,1,3,12,21,31,82,134,617,0,0,0,0,35,1,0,2
20240708-r11163,172,0,0,1,1,8,12,31,83,1073,0,0,0,0,5,0,108,0
20240710-vo4192,190,0,1,1,11,25,69,192,294,106,0,0,0,0,91,32,14,4
20240711-r41163,109,0,2,8,25,36,41,77,214,1001,0,0,0,0,3,2,0,0
20240715-r11164,294,0,0,0,0,0,2,3,21,485,0,0,0,0,1,0,2,34
20240717-vo4199,254,1,3,3,15,48,84,126,132,38,0,0,0,0,22,102,280,0
20240718-r41164,0,0,3,19,67,160,355,394,206,251,0,0,0,0,60,1,6,66
20240722-r11165,11,0,1,11,42,84,133,164,174,438,0,0,0,0,58,6,10,72
20240725-r41165,0,0,0,9,26,91,112,129,101,177,0,0,0,0,47,0,36,98
20240729-r11166,86,0,1,2,5,14,6,12,34,668,0,0,0,0,24,0,64,460
20240731-vo4213,25,0,0,0,0,9,47,157,252,73,0,0,0,0,66,23,49,337
20240801-r41166,152,0,0,0,0,0,2,87,40,225,0,0,0,0,325,8,415,0
20240805-r11167,67,0,0,1,1,5,8,14,58,883,0,0,0,0,3,0,58,312
20240807-vo4220,1,0,0,0,1,6,38,183,439,194,0,0,0,0,25,0,18,0
20240808-r41167,0,0,0,5,40,132,172,235,312,536,0,0,0,0,72,6,38,14
20240812-r11168,76,1,0,2,9,30,43,44,108,1200,0,0,0,0,73,0,30,64
20240815-r41168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1364
20240902-r11171,127,0,0,5,9,26,35,34,49,394,0,0,0,0,13,0,0,44
20240904-vo4248,21,0,0,2,11,34,107,327,259,182,0,5,0,0,97,0,52,339
20240905-r41171,101,0,0,1,0,2,7,44,162,763,0,0,0,0,12,2,22,28
20240909-r11172,175,2,5,38,71,115,124,140,179,893,0,0,0,0,0,0,2,6
20240912-r41172,119,0,0,0,1,4,3,40,155,689,0,0,0,0,6,0,21,38
20240916-r11173,138,1,6,42,73,95,71,92,133,1175,0,0,0,0,8,0,2,38
20240918-vo4262,3,0,0,3,13,43,138,292,260,176,0,0,0,0,126,5,855,0
20240919-r41173,204,0,0,0,1,7,16,60,216,1117,0,0,0,0,9,0,0,50
20240923-r11174,212,1,0,1,3,10,4,15,51,570,0,0,0,0,0,5,0,92
20240925-vo4269,6,0,1,3,16,43,134,304,255,230,0,0,0,0,129,22,1,0
20240926-r41174,254,0,0,0,1,7,3,108,38,169,0,0,0,0,277,6,13,350
20240930-r11175,154,0,0,0,3,6,4,13,65,743,0,0,0,0,0,0,358,0
20241003-r41175,69,0,0,0,1,4,7,24,86,353,0,0,0,0,8,0,538,24
20241007-r11176,268,0,0,1,1,1,4,16,28,618,0,0,0,0,0,1,0,538
20241009-vo4283,7,1,1,5,8,10,34,111,250,301,0,0,0,0,52,0,0,0
20241010-r41176,249,0,0,0,2,6,11,55,200,522,0,0,0,0,29,0,6,32
20241014-r11177,250,0,0,1,5,8,5,25,98,1302,0,0,0,0,8,0,0,0
20241016-vo4290,29,0,0,2,5,7,14,88,150,431,0,12,0,0,369,24,293,0
20241017-r41177,0,2,1,56,146,242,264,206,181,214,0,0,0,0,1,9,0,0
20241021-r11178,209,0,3,1,2,6,10,38,155,1416,0,0,0,0,17,1,4,362
20241023-vr2404,85,0,0,1,6,27,75,198,435,906,0,0,0,0,93,17,536,0
20241024-r41178,205,1,0,1,5,11,62,114,300,683,0,0,0,0,41,0,21,0
20241028-r11179,201,0,0,0,0,4,10,35,123,1415,0,0,0,0,4,0,4,0
20241031-r41179,570,0,0,0,0,0,5,19,37,705,0,0,0,0,12,0,4,12
20241104-r11180,392,0,0,0,0,2,2,24,62,1380,0,0,0,0,1,5,2,0
20241106-vo4311,16,0,0,0,5,19,52,201,274,186,0,0,0,0,64,21,1,54
20241107-r41180,266,0,0,0,0,2,6,28,137,1020,0,0,0,0,25,13,1,6
20241111-r11181,162,0,0,13,7,34,26,42,87,725,0,0,0,0,6,0,10,1200
20241113-vo4318,311,0,0,2,17,24,77,162,111,161,0,0,0,0,0,2,41,0
20241114-r41181,188,0,0,0,0,2,7,22,126,889,0,0,0,0,18,1,71,0
20241118-r11182,178,0,1,1,24,28,30,47,77,837,0,0,0,0,25,10,4,0
20241120-vo4325,0,1,2,16,33,58,113,197,165,103,0,0,0,0,62,2,2,0
20241121-r41182,0,0,19,93,222,163,211,86,49,6,0,0,0,0,265,6,10,178
20241125-vt4330,8,0,0,0,1,4,6,8,4,72,0,0,0,0,33,4,0,0
20241126-vt4331,5,0,0,0,2,4,5,20,11,75,0,0,0,0,3,0,1,14
20241127-vt4332,37,0,0,0,0,0,1,0,0,59,0,0,0,0,21,8,0,14
20241128-vt4333,69,0,0,0,0,1,0,0,0,48,0,0,0,0,0,1,0,21
20241128-r41183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
